from,to,weight
20,2,4
20,64,3
20,51,4
20,41,4
20,21,4
20,16,3
20,7,3
20,18,2
20,33,4
20,4,2
37,17,7
37,28,7
37,27,5
37,14,4
2,41,5
2,64,3
2,51,4
2,20,4
2,18,3
2,16,3
2,21,3
2,37,3
45,56,4
45,64,3
45,5,4
45,7,1
45,15,2
45,47,5
45,1,2
45,6,3
45,43,4
25,56,1
25,45,1
25,40,1
25,51,1
25,8,1
25,1,1
25,20,1
25,64,1
25,41,1
25,42,1
11,52,3
11,48,3
11,46,3
11,50,2
11,61,2
11,63,2
11,29,2
11,42,2
48,64,7
48,7,2
48,32,3
48,63,2
48,11,3
48,29,2
48,2,1
48,62,2
48,21,3
48,5,2
32,48,4
32,3,3
32,7,3
32,61,2
32,18,2
32,51,2
32,1,2
5,46,2
5,56,2
5,63,2
5,45,2
5,7,2
5,64,2
5,42,2
5,18,2
5,22,2
5,1,2
41,22,3
41,13,2
41,64,3
41,2,4
41,20,3
41,18,2
41,57,3
41,59,1
41,61,2
13,42,6
13,41,4
13,22,2
13,59,3
13,29,3
13,55,2
13,20,2
13,39,2
13,57,2
30,50,3
30,31,2
15,37,3
15,19,1
15,53,2
15,54,2
15,54,2
15,4,2
15,59,2
15,42,2
15,55,4
15,26,3
36,35,3
36,52,2
36,11,2
36,46,1
36,2,1
36,24,3
36,20,3
36,16,3
36,45,2
36,22,3
64,48,6
64,51,3
64,2,3
64,41,2
64,21,2
64,42,2
64,16,2
64,20,2
64,42,2
62,1,2
62,20,2
62,61,2
62,2,1
62,56,1
35,22,2
35,52,2
35,36,2
35,16,2
35,29,1
35,61,1
35,62,1
35,58,1
29,61,3
29,13,2
29,58,3
29,45,2
29,52,2
29,12,3
29,39,2
29,3,2
29,2,1
29,22,2
12,24,1
12,22,1
12,29,1
12,61,1
12,3,1
12,50,1
12,36,1
12,52,1
16,21,2
16,2,2
16,20,2
16,51,2
16,62,2
16,8,2
31,30,3
31,8,2
31,59,2
31,15,2
31,5,2
31,58,2
31,3,2
31,50,2
31,57,1
31,63,2
58,3,2
58,54,2
58,29,2
58,45,2
58,61,2
58,22,1
58,52,2
39,19,2
39,35,2
39,60,2
39,38,2
39,51,2
39,35,2
39,5,2
39,55,3
39,62,2
39,29,2
47,56,4
47,5,3
47,45,2
47,56,2
47,1,2
47,52,3
3,29,4
3,61,3
3,32,3
3,48,3
24,36,4
24,12,3
24,22,3
24,46,2
24,30,3
24,52,2
24,58,2
24,51,2
56,47,3
56,45,3
56,5,3
56,34,3
56,4,2
56,18,2
56,64,1
56,35,2
50,46,3
50,30,5
50,63,4
50,8,3
50,12,3
50,1,2
50,52,2
46,44,2
46,22,3
46,1,2
46,7,3
46,63,1
46,11,1
46,50,2
41,49,3
41,31,3
41,48,3
41,32,3
41,43,3
41,64,2
41,45,2
41,10,3
42,18,4
42,63,4
42,7,4
42,13,6
42,64,4
42,48,4
42,56,4
42,11,3
42,56,3
60,46,3
60,1,3
60,48,3
60,42,2
60,63,2
60,64,2
60,20,2
60,18,2
1,7,3
1,46,4
1,56,2
1,62,4
1,11,2
1,64,2
1,5,3
1,3,2
1,48,1
57,41,4
57,59,3
57,7,3
57,64,1
57,56,1
57,15,1
52,58,3
52,29,3
52,45,3
52,11,2
52,35,3
52,50,3
52,36,3
52,12,2
52,24,2
52,61,2
51,20,4
51,22,2
51,28,3
51,21,3
51,64,4
51,39,2
51,16,2
51,8,2
23,25,6
23,13,3
23,51,2
23,39,4
23,50,3
23,22,5
23,41,2
21,16,4
21,36,2
21,2,3
21,20,3
21,33,1
21,51,3
21,64,3
21,41,2
21,8,3
63,42,4
63,18,4
63,7,3
63,48,3
63,56,2
63,50,2
63,13,2
63,46,2
22,41,3
22,55,4
22,39,1
22,51,1
22,46,2
22,13,1
22,24,1
18,63,3
18,42,3
18,41,2
18,2,2
18,48,2
18,64,2
18,32,2
18,7,2
18,46,2
18,56,2
